id,1st,2nd,3rd,wt
1963,1,4,4,0.68750000000000 
1803,1,3,3,0.70212765957447 
3486,2,1,1,0.87301587301587 
1556,2,3,2,0.94117647058824 
1650,1,3,3,1.11111111111111 
2083,4,1,1,0.71264367816092 
1829,1,4,4,1.46153846153846 
1155,2,3,3,0.71264367816092 
744,2,2,2,0.80882352941177 
2660,6,3,3,0.80882352941177 
3222,1,4,4,1.00000000000000 
3347,1,4,4,0.88571428571429 
737,4,3,3,0.71264367816092 
676,1,4,2,1.06250000000000 
4195,1,3,3,0.87500000000000 
3786,1,3,3,0.86956521739130 
3546,2,2,2,0.73809523809524 
333,1,4,4,0.93333333333333 
4604,1,4,4,0.93333333333333 
3692,1,4,4,0.73333333333333 
3618,5,3,3,0.70212765957447 
4327,3,3,3,0.96774193548387 
1996,2,2,1,0.66000000000000 
2121,5,3,3,0.66000000000000 
2507,1,4,3,0.80882352941177 
649,1,3,3,0.94117647058824 
3824,3,4,3,0.75000000000000 
1849,2,1,1,1.18750000000000 
3267,1,2,2,0.93650793650794 
4388,2,2,2,0.81481481481482 
1042,3,2,2,1.06250000000000 
1672,1,4,4,1.63636363636363 
3411,1,4,4,0.82608695652174 
3778,5,3,3,0.68085106382979 
1678,1,4,4,0.71264367816092 
1561,1,4,4,0.92857142857143 
761,1,3,3,0.71264367816092 
3931,5,3,3,0.70212765957447 
2452,1,3,3,0.94117647058824 
3510,1,4,4,0.88571428571429 
3021,4,3,3,0.54545454545455 
1606,1,3,3,0.93333333333333 
3823,3,2,1,0.90410958904110 
3919,1,4,4,0.87301587301587 
4330,1,4,4,0.88888888888889 
4452,2,9,9,0.84848484848485 
3343,2,9,3,0.86956521739130 
2950,3,9,9,2.50000000000000 
1633,1,4,4,0.68750000000000 
2130,5,4,4,0.84848484848485 
4320,1,4,4,0.92857142857143 
3958,1,4,4,1.46153846153846 
2564,2,1,2,0.96774193548387 
920,1,3,4,0.73913043478261 
2248,2,3,3,0.88571428571429 
755,1,3,4,0.66000000000000 
3456,1,3,2,0.70212765957447 
871,1,3,3,0.93650793650794 
3420,1,4,3,0.75757575757576 
108,1,4,4,0.88571428571429 
20,5,3,3,1.46153846153846 
2669,1,4,4,1.12068965517241 
4105,1,4,4,0.70212765957447 
1836,1,4,4,0.70370370370370 
2007,1,4,4,0.84848484848485 
3741,3,3,4,0.94117647058824 
3655,1,4,4,1.12068965517241 
1250,5,9,3,1.10000000000000 
2062,1,4,4,0.75757575757576 
1621,2,9,9,0.93650793650794 
3350,1,4,4,0.71264367816092 
2010,5,3,3,0.77777777777778 
1557,1,4,4,0.66000000000000 
4228,2,2,2,1.50000000000000 
99,1,4,4,1.12068965517241 
417,1,4,4,0.82608695652174 
2455,1,3,3,0.69230769230769 
4271,2,1,1,0.97297297297297 
1708,3,3,3,0.93333333333333 
3224,3,3,3,1.06250000000000 
3429,1,4,4,0.73809523809524 
710,1,4,4,1.11111111111111 
898,2,1,2,1.00000000000000 
2510,1,3,3,0.80882352941177 
110,1,4,4,0.71264367816092 
4213,5,3,2,0.87301587301587 
1826,2,3,3,1.25000000000000 
3754,1,4,4,0.90410958904110 
1623,2,1,1,0.82608695652174 
1217,1,4,4,0.71264367816092 
3878,2,1,1,0.68085106382979 
4098,5,9,3,0.80882352941177 
105,2,1,1,2.14285714285714 
3080,2,1,1,1.43243243243243 
1822,2,1,1,0.68750000000000 
3615,2,3,3,0.66000000000000 
823,1,4,3,0.71264367816092 
3545,2,1,1,0.93650793650794 
1266,1,4,4,0.83333333333333 
759,5,2,2,1.46153846153846 
3433,5,3,3,0.73809523809524 
3068,1,3,9,1.38461538461538 
1761,2,2,2,0.73333333333333 
553,3,2,2,0.68085106382979 
4295,1,4,4,1.06250000000000 
3208,2,3,3,1.11111111111111 
1824,6,3,3,1.00000000000000 
1971,4,3,3,0.69230769230769 
2942,2,2,1,2.00000000000000 
3564,1,3,3,0.78571428571429 
2099,2,2,1,0.82608695652174 
992,2,9,3,0.77777777777778 
112,2,1,1,0.75000000000000 
2562,1,4,4,1.11111111111111 
1620,1,3,3,0.68750000000000 
1111,1,4,4,0.96774193548387 
1109,1,4,4,0.77777777777778 
3509,2,9,9,0.68085106382979 
2542,3,2,2,0.80882352941177 
3884,2,1,1,0.71264367816092 
428,2,3,4,0.73913043478261 
3914,1,4,4,0.88571428571429 
4107,2,2,2,0.43750000000000 
774,1,4,4,0.88571428571429 
3243,1,3,4,0.82608695652174 
4154,6,3,4,0.77777777777778 
1290,1,3,3,0.90410958904110 
2045,1,4,4,0.78260869565217 
2959,2,1,1,0.75000000000000 
96,1,4,4,0.68750000000000 
2193,1,4,4,0.70212765957447 
567,1,3,4,0.80882352941177 
817,5,3,3,0.54545454545455 
1471,2,1,9,0.83333333333333 
2309,1,4,4,0.96774193548387 
3941,4,4,1,1.10000000000000 
3508,1,4,4,0.73913043478261 
4577,1,3,3,0.93650793650794 
4029,5,9,9,0.82608695652174 
2144,1,4,4,0.70370370370370 
2356,1,4,4,1.05555555555555 
3307,5,1,1,1.06250000000000 
2159,1,4,3,0.70212765957447 
1656,5,2,4,1.43243243243243 
498,2,9,1,1.30769230769230 
1019,1,4,4,0.71264367816092 
368,3,3,3,0.66000000000000 
227,3,3,4,0.90410958904110 
1827,5,3,3,0.70212765957447 
946,1,4,4,1.00000000000000 
4570,1,3,3,1.87500000000000 
1742,1,4,3,0.73809523809524 
3205,2,2,2,1.00000000000000 
613,1,4,4,1.40000000000000 
360,5,3,1,1.38461538461538 
929,4,1,1,0.80882352941177 
803,1,3,3,0.93333333333333 
1096,1,4,4,1.12068965517241 
3250,2,2,2,1.38461538461538 
184,6,3,4,2.60000000000000 
3491,2,2,2,0.71264367816092 
1814,1,3,3,2.50000000000000 
4198,1,4,4,0.93333333333333 
255,6,3,3,0.71264367816092 
4414,2,1,1,1.11111111111111 
3561,3,9,2,0.70212765957447 
4036,1,4,4,0.73913043478261 
3188,2,9,2,0.68750000000000 
4292,2,3,2,0.90000000000000 
2147,2,1,1,0.54545454545455 
2051,1,4,4,0.78571428571429 
490,1,3,3,1.12068965517241 
2411,2,2,2,1.00000000000000 
3438,1,4,4,0.66000000000000 
913,1,4,3,0.68750000000000 
3085,1,3,3,2.50000000000000 
1407,1,4,4,0.68085106382979 
534,2,3,3,0.82608695652174 
3832,1,4,4,1.15384615384615 
544,2,2,3,0.68085106382979 
1151,1,4,4,0.93333333333333 
3897,2,1,1,0.73913043478261 
2339,1,3,3,0.81481481481482 
3863,1,4,4,0.87301587301587 
1004,2,2,9,1.11111111111111 
1754,3,2,2,1.43243243243243 
1558,3,3,3,0.94117647058824 
205,1,4,4,0.86956521739130 
3025,2,4,2,0.54545454545455 
1689,2,1,1,0.73809523809524 
855,5,2,2,0.90410958904110 
3688,6,9,9,0.73809523809524 
401,2,1,1,1.43243243243243 
440,6,3,4,0.96774193548387 
3383,5,9,9,0.82608695652174 
3000,2,1,1,1.43243243243243 
2398,5,2,1,1.87500000000000 
1046,2,1,1,0.68750000000000 
3078,1,4,4,0.43750000000000 
3218,2,1,2,0.78260869565217 
1256,2,1,1,0.84848484848485 
3798,1,4,4,1.20000000000000 
3410,3,1,1,0.93333333333333 
277,1,4,4,1.43243243243243 
4410,2,9,9,0.66000000000000 
1205,5,3,3,1.06250000000000 
59,1,3,4,0.71264367816092 
2948,2,2,2,0.81481481481482 
2103,1,1,4,0.88571428571429 
144,3,2,2,0.87301587301587 
2122,1,4,4,3.66666666666666 
1354,1,4,4,1.06250000000000 
827,2,1,1,0.92857142857143 
4055,1,4,4,0.90410958904110 
1360,2,1,1,0.87301587301587 
2611,1,4,4,1.05555555555555 
2272,4,1,1,0.87301587301587 
3248,4,2,9,0.93650793650794 
820,3,2,9,0.90410958904110 
2785,1,4,4,0.68085106382979 
655,5,3,3,0.88571428571429 
2196,1,3,3,0.90410958904110 
4598,1,4,4,0.96774193548387 
4605,3,1,2,1.00000000000000 
1980,4,2,1,0.92857142857143 
610,2,1,1,0.66000000000000 
2894,2,1,1,0.68085106382979 
3172,1,4,4,0.97297297297297 
3614,1,4,4,0.78260869565217 
2878,1,3,3,0.80882352941177 
1351,1,4,4,0.96774193548387 
2975,1,4,4,0.97297297297297 
43,1,4,4,0.71264367816092 
4112,2,9,1,0.87301587301587 
3794,3,2,2,1.40000000000000 
3745,5,9,2,0.69230769230769 
694,2,2,1,0.54545454545455 
1486,1,3,3,0.93650793650794 
3767,1,3,3,0.75000000000000 
627,1,4,4,0.80882352941177 
2163,1,3,3,0.71264367816092 
1212,6,2,2,0.96774193548387 
1195,2,4,4,0.93333333333333 
3902,2,2,2,0.71264367816092 
889,2,1,1,1.11111111111111 
4600,1,4,4,0.90410958904110 
3236,1,4,4,0.70212765957447 
1424,1,4,3,0.97297297297297 
3286,1,4,3,1.00000000000000 
3362,2,1,1,1.88888888888888 
529,1,3,3,1.11111111111111 
1957,1,3,3,0.78260869565217 
3471,2,1,1,0.96774193548387 
3264,1,3,4,0.78571428571429 
2935,2,1,1,0.81481481481482 
359,1,4,3,0.87500000000000 
1033,1,4,4,0.71264367816092 
1889,1,3,3,0.97297297297297 
3400,3,2,2,0.96774193548387 
427,1,3,3,0.94117647058824 
2131,5,3,4,0.77777777777778 
1875,1,4,4,0.73333333333333 
3849,6,3,3,1.50000000000000 
3499,6,2,2,0.78571428571429 
3351,2,2,3,0.54545454545455 
2239,1,4,4,0.70212765957447 
578,1,4,4,0.68750000000000 
1286,2,2,2,0.83333333333333 
1698,6,3,4,0.75757575757576 
4005,1,3,4,0.75757575757576 
3317,3,2,2,0.66000000000000 
2111,1,4,4,0.80882352941177 
1751,2,3,3,1.12068965517241 
3229,1,4,3,0.77777777777778 
1240,1,4,4,0.77777777777778 
2546,1,4,4,1.18750000000000 
267,1,3,3,0.75757575757576 
3216,1,4,4,0.97297297297297 
3855,1,4,4,0.75757575757576 
3101,5,2,2,0.75000000000000 
2587,1,3,3,3.66666666666666 
95,1,4,4,1.12068965517241 
3799,3,3,3,0.78571428571429 
3458,1,3,3,0.70212765957447 
1179,1,4,4,0.93333333333333 
994,1,3,4,1.12068965517241 
1748,3,2,2,0.90410958904110 
535,1,4,4,0.90410958904110 
1713,1,4,4,0.78260869565217 
4466,5,4,4,1.00000000000000 
738,5,3,2,0.93333333333333 
3613,2,1,1,1.00000000000000 
3303,2,1,1,0.77777777777778 
3814,1,4,4,0.90410958904110 
4615,1,3,3,0.71264367816092 
439,2,3,2,0.75000000000000 
1060,3,4,3,0.88571428571429 
1862,1,3,3,0.87301587301587 
463,1,1,4,0.73913043478261 
840,2,1,1,1.00000000000000 
1835,2,1,1,0.80882352941177 
2974,2,9,2,0.81481481481482 
4553,1,3,3,1.50000000000000 
1273,1,3,4,0.75000000000000 
4214,1,4,4,0.87301587301587 
682,1,4,4,0.88571428571429 
1543,2,3,3,0.93333333333333 
4583,1,4,4,0.73913043478261 
3263,2,9,9,2.40000000000000 
1796,2,1,1,0.77777777777778 
4174,1,4,4,8.00000000000000 
80,1,4,4,0.77777777777778 
1702,1,3,4,1.50000000000000 
415,6,3,3,0.66000000000000 
2350,1,4,4,0.66000000000000 
2133,3,3,3,0.75757575757576 
2834,1,4,4,0.80882352941177 
3143,5,9,2,1.11111111111111 
1984,1,4,1,1.63636363636363 
1238,1,3,4,1.15384615384615 
2050,5,2,1,0.75757575757576 
1005,1,9,3,0.73333333333333 
3670,1,4,3,0.97297297297297 
1476,2,1,1,0.96774193548387 
3013,5,2,2,0.75000000000000 
262,1,4,4,1.43243243243243 
2508,2,1,1,0.80882352941177 
4307,6,3,4,0.77777777777778 
176,2,2,1,0.83333333333333 
1029,6,4,4,0.88571428571429 
3330,4,3,3,0.73333333333333 
1316,1,4,4,0.73333333333333 
3038,2,1,1,0.97297297297297 
326,1,3,4,1.46153846153846 
3448,5,9,9,0.87301587301587 
1669,1,3,3,0.90410958904110 
3775,1,4,3,0.93650793650794 
2152,2,1,1,0.68750000000000 
2450,5,1,4,0.88571428571429 
3240,1,4,4,0.71264367816092 
4244,1,3,3,1.38461538461538 
862,1,3,4,0.66000000000000 
4123,2,1,1,1.40000000000000 
749,3,3,3,0.93333333333333 
328,5,9,2,0.73809523809524 
1647,1,4,3,0.73809523809524 
3826,3,3,3,0.68085106382979 
3558,2,2,1,0.66000000000000 
1466,3,3,3,0.96774193548387 
1073,1,4,4,0.71264367816092 
109,4,2,2,0.93333333333333 
3953,2,1,2,0.77777777777778 
3511,2,1,2,0.84848484848485 
3627,1,1,1,0.96774193548387 
2338,1,3,3,1.46153846153846 
2996,2,2,2,0.81481481481482 
3722,1,3,4,0.92857142857143 
2307,1,4,4,0.87301587301587 
2457,1,3,3,0.88888888888889 
3776,1,4,4,0.87301587301587 
1158,5,3,3,0.70212765957447 
1396,1,4,4,0.97297297297297 
522,1,4,4,0.93650793650794 
11,2,2,1,0.96774193548387 
4614,1,4,4,0.54545454545455 
2292,2,2,2,0.96774193548387 
681,1,4,4,0.73809523809524 
575,6,3,3,0.70370370370370 
1001,1,3,4,1.00000000000000 
33,3,3,3,1.06250000000000 
4316,2,1,1,0.77777777777778 
2995,2,1,1,0.97297297297297 
2633,2,2,1,1.18750000000000 
3014,2,1,1,1.50000000000000 
1610,4,1,1,0.77777777777778 
3199,4,2,1,1.12068965517241 
2402,6,3,4,1.50000000000000 
2046,1,4,4,0.78260869565217 
1956,1,4,3,0.78571428571429 
1194,4,4,3,0.70212765957447 
1296,1,4,4,1.06250000000000 
3368,1,4,4,1.00000000000000 
3626,2,2,2,0.66000000000000 
1144,1,4,4,1.12068965517241 
3503,1,4,4,0.68750000000000 
2535,2,2,1,0.96774193548387 
3320,1,4,4,1.06250000000000 
1168,1,4,4,0.71264367816092 
1931,2,1,1,1.46153846153846 
1929,1,3,4,1.03030303030303 
3418,1,4,4,0.73809523809524 
1856,2,1,1,0.70212765957447 
4642,1,3,3,0.92857142857143 
2368,5,2,2,1.00000000000000 
1798,1,4,3,1.12068965517241 
2273,2,1,1,0.96774193548387 
620,2,1,1,0.73913043478261 
895,1,3,4,0.96774193548387 
1288,2,1,1,1.60000000000000 
194,5,3,3,0.54545454545455 
3949,1,1,4,0.54545454545455 
3991,1,4,4,0.78571428571429 
3280,1,4,3,1.30769230769230 
1818,2,2,9,2.40000000000000 
1470,5,3,3,0.71264367816092 
1112,4,1,2,0.80882352941177 
1943,1,4,4,0.68085106382979 
822,1,3,3,0.73913043478261 
2449,5,2,2,0.75000000000000 
1037,2,1,1,0.73809523809524 
3516,2,2,2,1.25000000000000 
1973,3,1,1,0.88888888888889 
2981,3,3,3,1.66666666666666 
3852,6,2,2,0.90000000000000 
2086,1,4,4,0.68750000000000 
4297,1,4,4,0.87301587301587 
3212,2,2,2,0.78260869565217 
3036,2,4,4,1.66666666666666 
3355,2,3,2,1.20000000000000 
3114,2,9,2,0.54545454545455 
3281,1,4,4,0.68085106382979 
3720,2,2,1,1.11111111111111 
2649,5,2,2,0.96774193548387 
1018,1,4,4,0.68750000000000 
3201,1,4,4,1.50000000000000 
593,2,2,1,1.11111111111111 
1799,1,4,1,1.12068965517241 
365,1,4,3,1.03030303030303 
2811,1,4,4,0.96774193548387 
2722,2,2,1,1.05555555555555 
92,1,4,3,0.77777777777778 
3170,1,4,4,0.43750000000000 
4006,1,4,4,0.75000000000000 
1460,1,4,4,0.87301587301587 
3817,1,3,4,0.97297297297297 
4489,1,4,4,0.82608695652174 
3266,2,1,1,1.06250000000000 
2612,2,1,1,1.05555555555555 
679,3,3,3,0.71264367816092 
324,1,1,4,0.75757575757576 
2724,1,4,4,1.05555555555555 
3985,3,4,4,0.96774193548387 
725,5,3,3,0.87301587301587 
1684,2,2,1,0.73809523809524 
1437,5,3,9,1.50000000000000 
185,1,3,3,0.68750000000000 
2110,1,3,4,0.70370370370370 
303,5,2,2,0.77777777777778 
4533,1,4,3,0.71264367816092 
714,1,3,3,0.88571428571429 
458,1,3,3,0.73913043478261 
3407,3,2,2,0.66000000000000 
1268,4,3,3,0.78260869565217 
4202,1,4,4,0.93650793650794 
435,1,4,4,1.60000000000000 
2786,1,4,4,0.68085106382979 
1691,2,1,1,0.80882352941177 
657,3,2,3,1.06250000000000 
1478,2,9,2,0.84848484848485 
2655,1,3,3,2.40000000000000 
24,1,4,4,0.73809523809524 
3891,2,2,2,0.87301587301587 
3497,6,2,1,0.84848484848485 
1598,1,4,4,0.90410958904110 
180,1,4,4,0.73333333333333 
1221,3,3,3,1.00000000000000 
1039,3,2,2,0.87301587301587 
1662,2,1,1,1.43243243243243 
2599,1,4,4,4.00000000000000 
3760,1,3,3,1.12068965517241 
516,5,3,9,0.83333333333333 
4265,5,3,3,0.78260869565217 
1374,2,1,1,0.80882352941177 
1192,1,4,4,0.77777777777778 
3348,1,4,4,0.96774193548387 
1947,5,1,1,1.88888888888888 
1587,5,3,2,0.93333333333333 
1319,1,4,4,0.93650793650794 
3705,1,3,3,1.38461538461538 
1011,1,3,3,0.93650793650794 
4364,2,9,1,0.73913043478261 
1843,5,4,3,2.14285714285714 
1282,2,1,1,0.77777777777778 
1588,3,1,1,1.43243243243243 
4126,5,1,1,0.70370370370370 
685,2,2,2,0.90410958904110 
4262,1,4,4,0.77777777777778 
899,1,3,4,0.82608695652174 
1247,5,3,3,0.88571428571429 
3854,1,4,4,0.71264367816092 
234,1,4,4,0.77777777777778 
1896,2,3,3,0.73913043478261 
1325,2,1,1,1.87500000000000 
3838,2,1,1,0.97297297297297 
1682,5,1,1,0.96774193548387 
1014,3,3,2,0.66000000000000 
3357,6,2,2,0.54545454545455 
2425,6,9,9,1.10000000000000 
1876,6,3,3,1.10000000000000 
3153,2,2,3,0.75000000000000 
1923,2,2,2,1.50000000000000 
579,2,9,2,0.87301587301587 
1788,1,9,3,0.69230769230769 
2145,3,2,2,0.82608695652174 
3678,1,4,4,0.90410958904110 
3872,1,4,4,0.83333333333333 
1705,5,1,1,2.40000000000000 
2990,1,4,4,0.97297297297297 
1844,1,4,4,0.71264367816092 
153,1,4,4,0.73333333333333 
1663,3,2,2,0.73913043478261 
81,5,9,1,1.38461538461538 
3398,1,3,3,0.71264367816092 
3490,2,1,1,0.83333333333333 
4161,1,3,3,0.75757575757576 
3179,2,3,2,0.75000000000000 
1967,2,1,1,1.25000000000000 
3541,1,3,4,0.90410958904110 
834,1,4,4,0.73809523809524 
3481,3,2,1,0.96774193548387 
1627,1,4,3,0.84848484848485 
1904,5,2,2,1.87500000000000 
3870,6,3,3,0.68750000000000 
4237,6,1,1,0.73913043478261 
2752,6,1,1,0.80882352941177 
896,5,1,1,0.75000000000000 
2913,1,3,3,0.81818181818182 
1604,2,3,9,0.54545454545455 
4009,1,4,1,0.75757575757576 
4578,1,4,4,0.92857142857143 
766,1,3,4,0.96774193548387 
1085,6,1,1,0.82608695652174 
3830,2,2,2,0.81481481481482 
2440,2,1,1,0.84848484848485 
1928,3,2,2,0.66000000000000 
800,1,3,2,1.43243243243243 
3265,3,2,1,1.30769230769230 
380,2,3,2,1.20000000000000 
3504,2,1,1,0.90410958904110 
4322,6,3,4,0.94117647058824 
2754,2,2,2,1.18750000000000 
1590,2,2,1,0.70212765957447 
63,1,3,3,0.82608695652174 
2029,1,4,4,1.06250000000000 
3198,2,2,3,0.77777777777778 
3951,5,9,9,1.00000000000000 
1865,1,4,4,1.00000000000000 
1064,1,4,3,0.70370370370370 
3583,3,9,2,1.43243243243243 
4429,2,1,2,0.81481481481482 
3629,3,1,1,0.94117647058824 
2423,2,1,1,1.05555555555555 
1718,5,2,9,1.18750000000000 
1349,1,9,3,0.66000000000000 
2063,2,1,2,0.54545454545455 
2217,1,3,3,0.93650793650794 
547,1,4,4,1.06250000000000 
2721,1,4,4,0.96774193548387 
260,1,3,3,0.71264367816092 
329,1,4,4,0.69230769230769 
507,1,3,4,0.96774193548387 
1987,1,9,3,0.78260869565217 
543,1,3,3,0.66000000000000 
3484,3,3,9,0.93333333333333 
87,2,2,2,0.82608695652174 
191,3,4,4,0.90410958904110 
1898,6,2,2,0.68750000000000 
3543,1,3,3,0.90410958904110 
1444,2,1,1,0.69230769230769 
2519,2,1,1,0.68085106382979 
434,1,4,4,0.90410958904110 
2794,1,4,4,0.68085106382979 
13,1,4,4,0.77777777777778 
4467,1,4,4,2.40000000000000 
2775,2,1,1,0.68085106382979 
3571,2,1,1,0.92857142857143 
1624,1,4,4,1.11111111111111 
3244,1,3,3,0.70212765957447 
1603,1,4,4,0.90410958904110 
501,1,4,4,0.75757575757576 
1298,1,3,3,1.12068965517241 
3262,1,9,3,0.93333333333333 
1639,6,2,2,0.81481481481482 
3843,1,4,3,0.87301587301587 
4506,1,4,4,0.86956521739130 
1703,1,4,4,0.68750000000000 
1782,1,4,4,0.77777777777778 
2702,1,3,3,2.66666666666666 
1193,1,4,1,0.81481481481482 
885,1,3,3,1.06250000000000 
4146,1,4,4,1.20000000000000 
4194,1,4,4,0.71264367816092 
1801,1,4,3,0.73333333333333 
2804,4,1,1,1.18750000000000 
4306,5,1,3,0.80882352941177 
1861,1,3,3,0.93333333333333 
3806,1,4,4,1.30769230769230 
210,3,3,3,1.63636363636363 
